"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47303","Investment division - Transfer flow @smoke @division @investment-division","divisionsFlows","2026-08-06","passed","2026-08-06","Inheritance seeder","","",""
"","26226","Investment division is blocked when a heir is a minor @division @investment-division","divisionsFlows","2026-08-06","passed","2026-08-06","Division blockers","","",""
"","26171","Cash division is blocked when a heir is a minor @division @cash-division","divisionsFlows","2026-08-06","passed","2026-08-06","Division blockers","","",""
"","66326","Cash division - Bank And Investment Accounts @smoke @division @cash-division","divisionsFlows","2026-08-06","passed","2026-08-06","Inheritance seeder","","",""
"","22607","apply division flow preconditions","division-preconditions","2026-08-06","passed","2026-08-06","","","",""
"","26428","Cash division is blocked when a heir is dead @division @cash-division","divisionsFlows","2026-08-06","passed","2026-08-06","Division blockers","","",""
"","66057","Cash division - Bank Accounts @smoke @division @cash-division","divisionsFlows","2026-08-06","passed","2026-08-06","Inheritance seeder","","",""
"","26153","Investment division is blocked when a heir is dead @division @investment-division","divisionsFlows","2026-08-06","passed","2026-08-06","Division blockers","","",""
"","63389","Cash division - Investment Accounts @smoke @division @cash-division","divisionsFlows","2026-08-06","passed","2026-08-06","Inheritance seeder","","",""
